Unnamed: 0,项目编码,项目名称,角色,姓名
62,TZ-2025-GD-000490,广东韶关翁源县新江100MW风电项目,项目成员,贺嘉慧
63,TZ-2025-GD-000494,广东韶关翁源县坝仔100MW风电项目,项目成员,昝晓萌
64,TZ-2025-GD-000494,广东韶关翁源县坝仔100MW风电项目,项目成员,王觉非
65,TZ-2025-GD-000490,广东韶关翁源县新江100MW风电项目,项目成员,昝晓萌
66,TZ-2025-GD-000490,广东韶关翁源县新江100MW风电项目,项目成员,王觉非
67,TZ-2025-GD-000494,广东韶关翁源县坝仔100MW风电项目,项目成员,李若白
68,TZ-2025-GD-000490,广东韶关翁源县新江100MW风电项目,项目成员,盛冬冬
69,TZ-2025-GD-000490,广东韶关翁源县新江100MW风电项目,项目成员,刘曲
70,TZ-2025-GD-000490,广东韶关翁源县新江100MW风电项目,项目成员,宋艺涓
71,TZ-2025-GD-000494,广东韶关翁源县坝仔100MW风电项目,项目成员,盛冬冬
72,TZ-2025-GD-000494,广东韶关翁源县坝仔100MW风电项目,项目成员,刘曲
73,TZ-2025-GD-000494,广东韶关翁源县坝仔100MW风电项目,项目成员,宋艺涓
74,TZ-2023-HE-000093,河北易县塘湖20MW光伏项目,项目部(成员),姚冬冬
75,TZ-2025-GD-000494,广东韶关翁源县坝仔100MW风电项目,项目成员,韩文涛
76,TZ-2025-GD-000494,广东韶关翁源县坝仔100MW风电项目,项目成员,方晨
77,TZ-2025-GD-000494,广东韶关翁源县坝仔100MW风电项目,项目成员,邢智全
78,TZ-2025-GD-000490,广东韶关翁源县新江100MW风电项目,项目成员,韩文涛
79,TZ-2025-GD-000490,广东韶关翁源县新江100MW风电项目,项目成员,方晨
80,TZ-2025-GD-000490,广东韶关翁源县新江100MW风电项目,项目成员,邢智全
81,-,-,项目经理(主责),张文睿
82,TZ-2021-NX-000108,宁夏吴忠太阳山20MW光伏项目,项目经理,曲静
83,TZ-2025-GD-000494,广东韶关翁源县坝仔100MW风电项目,项目成员,邵本初
84,TZ-2025-GD-000490,广东韶关翁源县新江100MW风电项目,项目成员,邵本初
85,TZ-2025-GD-000490,广东韶关翁源县新江100MW风电项目,项目成员,王馨琰
86,TZ-2025-GD-000490,广东韶关翁源县新江100MW风电项目,项目成员,张丰盛
87,TZ-2025-GD-000494,广东韶关翁源县坝仔100MW风电项目,项目成员,王馨琰
88,TZ-2025-GD-000494,广东韶关翁源县坝仔100MW风电项目,项目成员,张丰盛
89,TZ-2025-GD-000490,广东韶关翁源县新江100MW风电项目,项目成员,胡玉杰
90,TZ-2025-GD-000490,广东韶关翁源县新江100MW风电项目,项目成员,覃鸿念
91,TZ-2020-NX-000042,宁夏卫钢200MW光伏项目,项目成员,宗静龙
92,-,甘肃省白银市会宁县200MW风电项目,项目经理(主责),王晓亮
93,TZ-2021-NX-000057,宁夏红寺堡上电100MW光伏项目,项目成员,宗静龙
94,TZ-2022-GQJJ-000470,苏州聚晟太阳能科技股份有限公司股权投资项目,项目经理,巩思辰
95,TZ-2023-TJ-000122,天津杨家泊智通43.2MW风电项目,项目成员,张建国
96,TZ-2022-GX-000088,广西贵港高传60MW风电项目,项目成员,李玥熠
97,TZ-2021-FJ-000441,福建宁德上汽21MW+3.9MW分布式光伏项目,项目经理,李玥熠
98,TZ-2017-HE-000022,河北赤城雀沟20MW光伏项目,项目成员,李玥熠
99,TZ-2020-XJ-000071,新疆木垒大石头第三风电场100MW项目,项目经理,李玥熠
100,TZ-2024-XJ-000436,新疆哈密十三间房天润247.5MW风电项目,项目成员,李景菲
101,TZ-2025-GZ-000483,贵州安顺关岭布依族苗族自治县80MW风电项目,项目成员,王馨琰
102,TZ-2025-GZ-000483,贵州安顺关岭布依族苗族自治县80MW风电项目,项目成员,田扩
103,TZ-2025-JX-600484,江西九江瑞昌111MW一体化项目,项目成员,田扩
104,TZ-2025-JX-000485,江西九江瑞昌二期42.9MW风电项目,项目成员,田扩
105,TZ-2025-JX-000484,江西九江瑞昌一期66MW风电项目,项目成员,田扩
106,TZ-2025-HN-600486,湖南郴州汝城半云仙100MW一体化项目,项目成员,田扩
107,TZ-2025-HN-000486,湖南郴州汝城半云仙二期50MW风电项目,项目成员,田扩
108,TZ-2025-HN-000487,湖南郴州汝城半云仙一期50MW风电项目,项目成员,田扩
109,TZ-2025-HN-600486,湖南郴州汝城半云仙100MW一体化项目,项目成员,郭婧
110,TZ-2025-HN-000486,湖南郴州汝城半云仙二期50MW风电项目,项目成员,郭婧
111,TZ-2025-HN-000487,湖南郴州汝城半云仙一期50MW风电项目,项目成员,郭婧
112,TZ-2025-HB-000493,河北唐山玉田500MW光伏项目,项目经理,曾笠
113,TZ-2025-GD-000490,广东韶关翁源县新江100MW风电项目,项目经理,杨伟鹏
114,TZ-2025-GD-000494,广东韶关翁源县坝仔100MW风电项目,项目经理,杨伟鹏
115,TZ-2024-TJ-000427,天津金开新能源产业股权投资基金,项目经理(主责),巩思辰
116,TZ-2024-SC-600454,四川绵阳北川124MW水电项目,项目经理,王少攀
117,TZ-2024-SC-000454,四川绵阳北川开坪20MW水电项目,项目经理,王少攀
118,TZ-2024-SC-000455,四川绵阳北川小坝40MW水电项目,项目经理,王少攀
119,TZ-2024-SC-000456,四川绵阳北川干松坝34MW水电项目,项目经理,王少攀
120,TZ-2024-SC-000457,四川绵阳北川白羊30MW水电项目,项目经理,王少攀
121,TZ-2024-SC-000426,金开佰舟水电投资合伙企业（有限合伙）,项目经理,王少攀
122,TZ-2025-GD-000490,广东韶关翁源县新江100MW风电项目,项目经理(主责),周博川
123,TZ-2025-GD-000494,广东韶关翁源县坝仔100MW风电项目,项目经理(主责),周博川
124,TZ-2025-HB-000493,河北唐山玉田500MW光伏项目,项目经理(主责),黄世伟
125,TZ-2025-HB-600492,河北省唐山市玉田县530MW一体化项目,项目经理,曾笠
126,TZ-2025-HB-000491,河北省唐山市玉田县350MW风电项目,项目经理,曾笠
127,TZ-2025-HB-000492,河北省唐山市玉田县180MW风电项目,项目经理,曾笠
128,TZ-2025-HB-000491,河北省唐山市玉田县350MW风电项目,项目经理(主责),黄世伟
129,TZ-2025-HB-000492,河北省唐山市玉田县180MW风电项目,项目经理(主责),黄世伟
130,TZ-2025-HB-600492,河北省唐山市玉田县530MW一体化项目,项目经理(主责),黄世伟
131,TZ-2025-GQJJ-000481,广东联通2000P智算中心项目,项目成员,曲通
132,-,内蒙古自治区包头市固阳县99MW风电项目,项目经理(主责),刘畅
133,-,内蒙古自治区包头市固阳县148.5MW一体化项目,项目经理(主责),刘畅
134,-,内蒙古自治区包头市固阳县49.5MW风电项目,项目经理(主责),刘畅
135,TZ-2025-GQJJ-000481,广东联通2000P智算中心项目,项目成员,史晓兵
136,TZ-2025-GQJJ-000481,广东联通2000P智算中心项目,项目成员,贺嘉慧
137,-,山西太原阳曲200MW风电项目,项目经理(主责),刘畅
138,TZ-2025-GQJJ-000481,广东联通2000P智算中心项目,项目成员,昝晓萌
139,TZ-2025-GQJJ-000481,广东联通2000P智算中心项目,项目成员,王觉非
140,TZ-2023-JS-600101,江苏常州蜂巢14MW分布式光伏+2.8MW/9.03MWh储能项目,项目经理(主责),刘畅
141,TZ-2025-HB-000468,河北邢台巨鹿200MW风电项目,项目成员,蒋雨菁
142,TZ-2023-SN-000267,陕西府谷润泽40MW分散式风电项目,项目经理(主责),黄世伟
143,TZ-2023-AH-000130,安徽亳州万事通100MW风电项目,项目经理(主责),黄世伟
144,TZ-2025-BJST-000489,巴基斯坦俾路支省风光储一体化项目,项目经理(主责),黄世伟
145,TZ-2019-SX-000440,山西平顺佛堂岭80MW+平顺国合170MW光伏领跑基地项目,项目经理,郑雯婷
146,TZ-2024-SX-000397,山西晋中祁县100MW风电项目,项目经理(主责),张海南
147,TZ-2024-BJ-000416,金开启昱（北京）新能源发展合伙企业（有限合伙）合伙份额投资项目,项目成员,昝晓萌
148,TZ-2024-GQJJ-000402,中国航空工业新能源投资有限公司股权投资项目,项目成员,昝晓萌
149,TZ-2023-GX-000110,广西罗城100MW光伏项目,项目成员,刘文鑫
150,TZ-2024-XJ-000424,新疆哈密伊吾智算中心项目,项目成员,刘文鑫
151,TZ-2022-GQJJ-000470,苏州聚晟太阳能科技股份有限公司股权投资项目,项目成员,刘文鑫
152,TZ-2023-NX-000241,宁夏知临增资扩股引入战略投资人项目,项目成员,刘文鑫
153,TZ-2024-JS-000372,江苏连云港连云区208MW光伏项目,项目经理,巩思辰
154,TZ-2025-GQJJ-000481,广东联通2000P智算中心项目,项目成员,沈男
155,TZ-2025-GQJJ-000481,广东联通2000P智算中心项目,项目成员,张远
156,TZ-2025-GQJJ-000481,广东联通2000P智算中心项目,项目成员,宋艺涓
157,TZ-2025-GQJJ-000481,广东联通2000P智算中心项目,项目成员,盛冬冬
158,TZ-2025-GQJJ-000481,广东联通2000P智算中心项目,项目成员,刘曲
159,TZ-2023-GX-000162,广西贵港郁景100MW风电项目,项目成员,杨明
160,TZ-2025-GQJJ-000481,广东联通2000P智算中心项目,项目成员,韩文涛
161,TZ-2025-GQJJ-000481,广东联通2000P智算中心项目,项目成员,方晨
162,TZ-2025-GQJJ-000481,广东联通2000P智算中心项目,项目成员,邢智全
163,TZ-2025-GQJJ-000481,广东联通2000P智算中心项目,项目成员,邵本初
164,TZ-2025-GQJJ-000481,广东联通2000P智算中心项目,项目成员,张浩冉
165,TZ-2025-GQJJ-000481,广东联通2000P智算中心项目,项目成员,邓栗
166,TZ-2025-GQJJ-000481,广东联通2000P智算中心项目,项目成员,林琼
167,TZ-2025-GQJJ-000481,广东联通2000P智算中心项目,项目成员,毕帅
168,TZ-2025-GQJJ-000481,广东联通2000P智算中心项目,项目成员,田扩
169,TZ-2025-GQJJ-000481,广东联通2000P智算中心项目,项目成员,靳家佳
170,TZ-2025-GQJJ-000481,广东联通2000P智算中心项目,项目成员,陆婉奇
171,TZ-2025-GQJJ-000481,广东联通2000P智算中心项目,项目成员,李若白
172,TZ-2025-GQJJ-000481,广东联通2000P智算中心项目,项目成员,胡玉杰
173,TZ-2023-GD-000096,广东梅州粤智横陂镇57MW光伏项目,项目成员,王少攀
174,TZ-2023-GD-000095,广东梅州粤智安流镇70MW光伏项目,项目成员,王少攀
175,TZ-2023-GX-000110,广西罗城100MW光伏项目,项目成员,王少攀
176,TZ-2020-XJ-000071,新疆木垒大石头第三风电场100MW项目,项目经理(主责),李海燕
177,TZ-2024-BJ-000416,金开启昱（北京）新能源发展合伙企业（有限合伙）合伙份额投资项目,项目经理(主责),刘畅
178,TZ-2022-SH-000066,上海浦东商飞二期6.4MW分布式光伏项目,项目经理(主责),刘畅
179,TZ-2023-AH-000100,安徽马鞍山蜂巢6MW分布式光伏项目,项目经理(主责),刘畅
180,TZ-2015-NX-000002,宁夏中宁利能30MW光伏项目,项目经理(主责),刘畅
181,TZ-2023-JS-600101,江苏常州蜂巢14MW分布式光伏+2.8MW/9.03MWh储能项目,项目经理(主责),刘畅
182,TZ-2023-JS-000339,江苏常州蜂巢2.8MW/9.03MWh储能项目,项目经理(主责),刘畅
183,TZ-2023-JS-000101,江苏常州蜂巢14MW分布式光伏项目,项目经理(主责),刘畅
184,TZ-2019-XJ-000009,新疆木垒联合光伏100MW光伏项目,项目经理(主责),刘畅
185,TZ-2020-XJ-000077,新疆老君庙国新天立49.5MW风电项目,项目经理(主责),刘畅
186,TZ-2021-FJ-000441,福建宁德上汽21MW+3.9MW分布式光伏项目,项目经理(主责),刘畅
187,TZ-2025-SX-000488,山西太原阳曲航能200MW风电项目,项目经理(主责),周博川
188,TZ-2023-SX-000366,山西太原阳曲400MW风电项目,项目经理(主责),刘畅
189,TZ-2024-XJ-000432,新疆昌吉木垒天润100MW风电项目,项目经理(主责),刘畅
190,TZ-2024-TJ-000390,天津宝坻大唐庄40MW风电项目,项目经理(主责),刘畅
191,TZ-2025-SX-000488,山西太原阳曲航能200MW风电项目,项目经理(主责),斯琴塔娜
192,TZ-2025-SX-000488,山西太原阳曲航能200MW风电项目,项目经理,周博川
193,TZ-2025-SX-000488,山西太原阳曲航能200MW风电项目,项目经理,斯琴塔娜
194,TZ-2020-SD-000078,山东菏泽新风50MW风电项目,项目经理,朱林
195,-,广东省湛江市廉江市120MW光伏项目,项目经理(主责),周博川
196,TZ-2020-SD-000030,山东枣庄昊源二期10MW光伏项目,项目部(成员),张翠
197,TZ-2018-SD-000029,山东枣庄昊源一期10MW光伏项目,项目部(成员),张翠
198,TZ-0000-AB-000000,黑龙江省大兴安岭地区加格达奇区199MW风电项目,项目成员,系统管理员
199,-,天津宁河谐能230MW风电项目,项目经理(主责),朱茳
200,TZ-2023-HE-000360,河北邯郸馆陶100MW风电项目,项目成员,王少攀
201,TZ-2023-HE-000360,河北邯郸馆陶100MW风电项目,项目经理,夏雄星
202,-,山西太原阳曲200MW风电项目,项目经理,周博川
203,-,山西太原阳曲200MW风电项目,项目经理(主责),斯琴塔娜
204,TZ-2025-HB-000468,河北邢台巨鹿200MW风电项目,项目成员,张弘
205,TZ-2025-HB-000468,河北邢台巨鹿200MW风电项目,项目成员,田权
206,TZ-2025-HB-000468,河北邢台巨鹿200MW风电项目,项目成员,唐亦之
207,TZ-2025-HB-000468,河北邢台巨鹿200MW风电项目,项目成员,柳琳
208,TZ-2025-HB-000468,河北邢台巨鹿200MW风电项目,项目成员,邓栗
209,TZ-2025-HB-000468,河北邢台巨鹿200MW风电项目,项目成员,林琼
210,TZ-2025-HB-000468,河北邢台巨鹿200MW风电项目,项目成员,张远
211,TZ-2025-HB-000468,河北邢台巨鹿200MW风电项目,项目成员,张建国
212,TZ-2025-HB-000468,河北邢台巨鹿200MW风电项目,项目成员,王觉非
213,TZ-2023-GD-000354,广东化州平定80MW光伏项目,项目成员,冯雨晴
214,TZ-2023-GD-000354,广东化州平定80MW光伏项目,项目成员,邵本初
215,TZ-2025-GZ-000483,贵州安顺关岭布依族苗族自治县80MW风电项目,项目成员,朱静思
216,TZ-2025-GZ-000483,贵州安顺关岭布依族苗族自治县80MW风电项目,项目成员,杨明
217,TZ-2025-GZ-000483,贵州安顺关岭布依族苗族自治县80MW风电项目,项目成员,方晨
218,TZ-2025-GZ-000483,贵州安顺关岭布依族苗族自治县80MW风电项目,项目成员,马思远
219,TZ-2025-GZ-000483,贵州安顺关岭布依族苗族自治县80MW风电项目,项目成员,邢智全
220,TZ-2025-GZ-000483,贵州安顺关岭布依族苗族自治县80MW风电项目,项目成员,昝晓萌
221,TZ-2025-GZ-000483,贵州安顺关岭布依族苗族自治县80MW风电项目,项目成员,王觉非
222,TZ-2025-GZ-000483,贵州安顺关岭布依族苗族自治县80MW风电项目,项目成员,杨雅婷
223,TZ-2025-GZ-000483,贵州安顺关岭布依族苗族自治县80MW风电项目,项目成员,夏亮
224,TZ-2025-GZ-000483,贵州安顺关岭布依族苗族自治县80MW风电项目,项目成员,邵本初
225,TZ-2025-GZ-000483,贵州安顺关岭布依族苗族自治县80MW风电项目,项目成员,史晓兵
226,TZ-2025-XJ-000478,新疆哈密伊吾1000MW风电项目,项目成员,邵本初
227,TZ-2025-JX-000485,江西九江瑞昌二期42.9MW风电项目,项目成员,邵本初
228,TZ-2025-JX-000484,江西九江瑞昌一期66MW风电项目,项目成员,邵本初
229,TZ-2025-JX-600484,江西九江瑞昌111MW一体化项目,项目成员,邵本初
230,TZ-2025-JX-000485,江西九江瑞昌二期42.9MW风电项目,项目成员,耿翔宇
231,TZ-2025-JX-000485,江西九江瑞昌二期42.9MW风电项目,项目成员,柳琳
232,TZ-2025-JX-000485,江西九江瑞昌二期42.9MW风电项目,项目成员,杨明
233,TZ-2025-JX-000484,江西九江瑞昌一期66MW风电项目,项目成员,耿翔宇
234,TZ-2025-JX-000484,江西九江瑞昌一期66MW风电项目,项目成员,柳琳
235,TZ-2025-JX-000484,江西九江瑞昌一期66MW风电项目,项目成员,杨明
236,TZ-2025-JX-600484,江西九江瑞昌111MW一体化项目,项目成员,耿翔宇
237,TZ-2025-JX-600484,江西九江瑞昌111MW一体化项目,项目成员,柳琳
238,TZ-2025-JX-600484,江西九江瑞昌111MW一体化项目,项目成员,杨明
239,TZ-2025-GZ-000483,贵州安顺关岭布依族苗族自治县80MW风电项目,项目成员,唐亦之
240,TZ-2025-GZ-000483,贵州安顺关岭布依族苗族自治县80MW风电项目,项目成员,宋艺涓
241,TZ-2025-GZ-000483,贵州安顺关岭布依族苗族自治县80MW风电项目,项目成员,刘曲
242,TZ-2025-GZ-000483,贵州安顺关岭布依族苗族自治县80MW风电项目,项目成员,李若白
243,TZ-2025-GZ-000483,贵州安顺关岭布依族苗族自治县80MW风电项目,项目成员,胡玉杰
244,TZ-2025-JX-000485,江西九江瑞昌二期42.9MW风电项目,项目成员,胡玉杰
245,TZ-2025-JX-000485,江西九江瑞昌二期42.9MW风电项目,项目成员,覃鸿念
246,TZ-2025-JX-000484,江西九江瑞昌一期66MW风电项目,项目成员,胡玉杰
247,TZ-2025-JX-000484,江西九江瑞昌一期66MW风电项目,项目成员,覃鸿念
248,TZ-2025-JX-600484,江西九江瑞昌111MW一体化项目,项目成员,胡玉杰
249,TZ-2025-JX-600484,江西九江瑞昌111MW一体化项目,项目成员,覃鸿念
250,TZ-2025-JX-000485,江西九江瑞昌二期42.9MW风电项目,项目成员,唐亦之
251,TZ-2025-JX-000485,江西九江瑞昌二期42.9MW风电项目,项目成员,宋艺涓
252,TZ-2025-JX-000485,江西九江瑞昌二期42.9MW风电项目,项目成员,刘曲
253,TZ-2025-JX-000484,江西九江瑞昌一期66MW风电项目,项目成员,唐亦之
254,TZ-2025-JX-000484,江西九江瑞昌一期66MW风电项目,项目成员,宋艺涓
255,TZ-2025-JX-000484,江西九江瑞昌一期66MW风电项目,项目成员,刘曲
256,TZ-2025-JX-600484,江西九江瑞昌111MW一体化项目,项目成员,唐亦之
257,TZ-2025-JX-600484,江西九江瑞昌111MW一体化项目,项目成员,宋艺涓
258,TZ-2025-JX-600484,江西九江瑞昌111MW一体化项目,项目成员,刘曲
259,TZ-2025-JX-000485,江西九江瑞昌二期42.9MW风电项目,项目成员,金铄
260,TZ-2025-JX-000485,江西九江瑞昌二期42.9MW风电项目,项目成员,金铄
261,TZ-2025-JX-000484,江西九江瑞昌一期66MW风电项目,项目成员,金铄
262,TZ-2025-JX-000484,江西九江瑞昌一期66MW风电项目,项目成员,金铄
263,TZ-2025-JX-600484,江西九江瑞昌111MW一体化项目,项目成员,金铄
264,TZ-2025-JX-600484,江西九江瑞昌111MW一体化项目,项目成员,金铄
265,TZ-2025-JX-000485,江西九江瑞昌二期42.9MW风电项目,项目成员,杨雅婷
266,TZ-2025-JX-000485,江西九江瑞昌二期42.9MW风电项目,项目成员,夏亮
267,TZ-2025-JX-000484,江西九江瑞昌一期66MW风电项目,项目成员,杨雅婷
268,TZ-2025-JX-000484,江西九江瑞昌一期66MW风电项目,项目成员,夏亮
269,TZ-2025-JX-600484,江西九江瑞昌111MW一体化项目,项目成员,杨雅婷
270,TZ-2025-JX-600484,江西九江瑞昌111MW一体化项目,项目成员,夏亮
271,TZ-2025-XJ-000478,新疆哈密伊吾1000MW风电项目,项目成员,昝晓萌
272,TZ-2025-XJ-000478,新疆哈密伊吾1000MW风电项目,项目成员,王觉非
273,TZ-2025-HN-000486,湖南郴州汝城半云仙二期50MW风电项目,项目成员,昝晓萌
274,TZ-2025-HN-000486,湖南郴州汝城半云仙二期50MW风电项目,项目成员,王觉非
275,TZ-2025-HN-000487,湖南郴州汝城半云仙一期50MW风电项目,项目成员,昝晓萌
276,TZ-2025-HN-000487,湖南郴州汝城半云仙一期50MW风电项目,项目成员,王觉非
277,TZ-2025-HN-600486,湖南郴州汝城半云仙100MW一体化项目,项目成员,昝晓萌
278,TZ-2025-HN-600486,湖南郴州汝城半云仙100MW一体化项目,项目成员,王觉非
279,TZ-2025-JX-000485,江西九江瑞昌二期42.9MW风电项目,项目成员,昝晓萌
280,TZ-2025-JX-000485,江西九江瑞昌二期42.9MW风电项目,项目成员,王觉非
281,TZ-2025-JX-000484,江西九江瑞昌一期66MW风电项目,项目成员,昝晓萌
282,TZ-2025-JX-000484,江西九江瑞昌一期66MW风电项目,项目成员,王觉非
283,TZ-2025-JX-600484,江西九江瑞昌111MW一体化项目,项目成员,昝晓萌
284,TZ-2025-JX-600484,江西九江瑞昌111MW一体化项目,项目成员,王觉非
285,TZ-2025-JX-000485,江西九江瑞昌二期42.9MW风电项目,项目成员,方晨
286,TZ-2025-JX-000485,江西九江瑞昌二期42.9MW风电项目,项目成员,马思远
287,TZ-2025-JX-000485,江西九江瑞昌二期42.9MW风电项目,项目成员,邢智全
288,TZ-2025-JX-000484,江西九江瑞昌一期66MW风电项目,项目成员,方晨
289,TZ-2025-JX-000484,江西九江瑞昌一期66MW风电项目,项目成员,马思远
290,TZ-2025-JX-000484,江西九江瑞昌一期66MW风电项目,项目成员,邢智全
291,TZ-2025-JX-600484,江西九江瑞昌111MW一体化项目,项目成员,方晨
292,TZ-2025-JX-600484,江西九江瑞昌111MW一体化项目,项目成员,马思远
293,TZ-2025-JX-600484,江西九江瑞昌111MW一体化项目,项目成员,邢智全
294,TZ-2025-HN-000486,湖南郴州汝城半云仙二期50MW风电项目,项目成员,邵本初
295,TZ-2025-HN-000487,湖南郴州汝城半云仙一期50MW风电项目,项目成员,邵本初
296,TZ-2025-HN-600486,湖南郴州汝城半云仙100MW一体化项目,项目成员,邵本初
297,TZ-2025-HN-000486,湖南郴州汝城半云仙二期50MW风电项目,项目成员,耿翔宇
298,TZ-2025-HN-000486,湖南郴州汝城半云仙二期50MW风电项目,项目成员,柳琳
299,TZ-2025-HN-000486,湖南郴州汝城半云仙二期50MW风电项目,项目成员,靳家佳
300,TZ-2025-HN-000487,湖南郴州汝城半云仙一期50MW风电项目,项目成员,耿翔宇
301,TZ-2025-HN-000487,湖南郴州汝城半云仙一期50MW风电项目,项目成员,柳琳
302,TZ-2025-HN-000487,湖南郴州汝城半云仙一期50MW风电项目,项目成员,靳家佳
